lr,epoch,train_loss,val_loss
0.01,0.0,119.94893646240234,2.2521839141845703
0.01,1.0,119.86402893066406,2.2048230171203613
0.01,2.0,119.79254150390625,2.1597728729248047
0.01,3.0,119.73355865478516,2.1175479888916016
0.01,4.0,119.68566131591797,2.0784430503845215
0.01,5.0,119.64737701416016,2.042597770690918
0.01,6.0,119.61726379394531,2.010063409805298
0.01,7.0,119.5939712524414,1.9807956218719482
0.01,8.0,119.57624053955078,1.9546798467636108
0.01,9.0,119.56291961669922,1.9315894842147827
0.01,10.0,119.5530014038086,1.9114176034927368
0.01,11.0,119.54560852050781,1.8940690755844116
0.01,12.0,119.54010009765625,1.879433035850525
0.01,13.0,119.53594207763672,1.8673620223999023
0.01,14.0,119.53267669677734,1.8576663732528687
0.01,15.0,119.530029296875,1.8501249551773071
0.01,16.0,119.52777099609375,1.844499945640564
0.01,17.0,119.52577209472656,1.8405532836914062
0.01,18.0,119.52394104003906,1.838059663772583
0.01,19.0,119.52225494384766,1.8368127346038818
0.01,20.0,119.52066040039062,1.8366203308105469
0.01,21.0,119.51915740966797,1.8372981548309326
0.01,22.0,119.51773071289062,1.838672399520874
0.01,23.0,119.51640319824219,1.8405765295028687
0.01,24.0,119.51520538330078,1.8428573608398438
0.01,25.0,119.51408386230469,1.845372200012207
0.01,26.0,119.51307678222656,1.8479928970336914
0.01,27.0,119.51216888427734,1.8506122827529907
0.01,28.0,119.5113525390625,1.8531465530395508
0.01,29.0,119.5106201171875,1.855542778968811
0.01,30.0,119.50994110107422,1.857774019241333
0.01,31.0,119.50934600830078,1.8598315715789795
0.01,32.0,119.5087890625,1.8617089986801147
0.01,33.0,119.5082778930664,1.8633973598480225
0.01,34.0,119.5078125,1.8648830652236938
0.01,35.0,119.50736999511719,1.8661572933197021
0.01,36.0,119.5069808959961,1.8672202825546265
0.01,37.0,119.5066146850586,1.8680824041366577
0.01,38.0,119.50628662109375,1.8687622547149658
0.01,39.0,119.5059814453125,1.8692792654037476
0.01,40.0,119.50569152832031,1.8696552515029907
0.01,41.0,119.50544738769531,1.8699119091033936
0.01,42.0,119.50521087646484,1.8700735569000244
0.01,43.0,119.50499725341797,1.8701671361923218
0.01,44.0,119.50480651855469,1.870216727256775
0.01,45.0,119.50463104248047,1.8702404499053955
0.01,46.0,119.50447082519531,1.870248794555664
0.01,47.0,119.50433349609375,1.8702503442764282
0.01,48.0,119.50421142578125,1.870250940322876
0.01,49.0,119.50409698486328,1.8702561855316162
0.01,50.0,119.50399780273438,1.8702701330184937
0.01,51.0,119.50390625,1.8702945709228516
0.01,52.0,119.50383758544922,1.8703304529190063
0.01,53.0,119.5037612915039,1.8703782558441162
0.01,54.0,119.50370788574219,1.8704392910003662
0.01,55.0,119.5036392211914,1.8705146312713623
0.01,56.0,119.50359344482422,1.8706016540527344
0.01,57.0,119.50354766845703,1.8706938028335571
0.01,58.0,119.50350189208984,1.8707811832427979
0.01,59.0,119.50346374511719,1.8708524703979492
0.01,60.0,119.50342559814453,1.8708984851837158
0.01,61.0,119.5033950805664,1.8709096908569336
0.01,62.0,119.50336456298828,1.8708854913711548
0.01,63.0,119.50334167480469,1.8708308935165405
0.01,64.0,119.5033187866211,1.8707603216171265
0.01,65.0,119.50330352783203,1.8706896305084229
0.01,66.0,119.50326538085938,1.8706296682357788
0.01,67.0,119.50325012207031,1.8705838918685913
0.01,68.0,119.50323486328125,1.8705486059188843
0.01,69.0,119.50321960449219,1.8705196380615234
0.01,70.0,119.5031967163086,1.8704931735992432
0.01,71.0,119.5031967163086,1.8704694509506226
