lr,epoch,train_loss,val_loss
0.0001,0.0,3.462649520874022,2.2704227485656743
0.0001,1.0,3.4319941864013668,2.240647157669067
0.0001,2.0,3.401905769348145,2.2113557338714602
0.0001,3.0,3.3723161544799805,2.182542526245117
0.0001,4.0,3.343218868255616,2.1541992149353026
0.0001,5.0,3.314606536865234,2.126318622589111
0.0001,6.0,3.286472782135011,2.098894342422486
0.0001,7.0,3.2588118400573745,2.0719211616516113
0.0001,8.0,3.2316187248229986,2.045393995285034
0.0001,9.0,3.204888580322266,2.0193082370758053
0.0001,10.0,3.1786167678833017,1.9936591968536377
0.0001,11.0,3.152798770904541,1.9684423761367797
0.0001,12.0,3.127429840087889,1.9436532363891605
0.0001,13.0,3.102505428314209,1.9192872323989867
0.0001,14.0,3.078020721435547,1.8953395853042603
0.0001,15.0,3.0539710750579836,1.8718058023452762
0.0001,16.0,3.0303516426086423,1.848681076049805
0.0001,17.0,3.00715742111206,1.8259606323242188
0.0001,18.0,2.9843835258483886,1.8036396617889403
0.0001,19.0,2.9620249786376953,1.7817131671905517
0.0001,20.0,2.940076515197754,1.7601762714385987
0.0001,21.0,2.9185330734252926,1.7390240774154662
0.0001,22.0,2.8973894042968746,1.718251275062561
0.0001,23.0,2.8766403083801273,1.6978530406951906
0.0001,24.0,2.8562803764343263,1.6778240680694583
0.0001,25.0,2.8363042926788333,1.658159369468689
0.0001,26.0,2.8167067260742185,1.6388535327911378
0.0001,27.0,2.797482042312622,1.6199016361236573
0.0001,28.0,2.778625022888183,1.6012981872558596
0.0001,29.0,2.7601300468444823,1.583038019180298
0.0001,30.0,2.741991561889649,1.5651158761978148
0.0001,31.0,2.7242041931152348,1.5475265407562255
0.0001,32.0,2.706762371063233,1.5302645511627198
0.0001,33.0,2.6896604290008557,1.5133248414993286
0.0001,34.0,2.672893016815185,1.4967020912170412
0.0001,35.0,2.6564545059204105,1.4803910217285159
0.0001,36.0,2.640339382171631,1.4643863058090212
0.0001,37.0,2.624542232513428,1.4486828403472902
0.0001,38.0,2.60905746459961,1.4332754325866701
0.0001,39.0,2.5938797187805176,1.4181587858200075
0.0001,40.0,2.5790034503936776,1.4033277397155763
0.0001,41.0,2.5644233360290527,1.3887773571014403
0.0001,42.0,2.550134059906006,1.37450244808197
0.0001,43.0,2.536130250930786,1.3604979648590088
0.0001,44.0,2.52240665435791,1.3467589807510374
0.0001,45.0,2.508957967758179,1.333280534744263
0.0001,46.0,2.4957791061401355,1.320057737350464
0.0001,47.0,2.4828649444580084,1.3070856885910036
0.0001,48.0,2.4702103652954084,1.2943596439361573
0.0001,49.0,2.457810382843018,1.2818749265670775
0.0001,50.0,2.4456599845886227,1.269626796722412
0.0001,51.0,2.433754417419434,1.2576106758117676
0.0001,52.0,2.42208874130249,1.245822040557861
0.0001,53.0,2.410658290863037,1.2342563486099243
0.0001,54.0,2.399458282470704,1.222909308433533
0.0001,55.0,2.3884841957092284,1.211776421546936
0.0001,56.0,2.3777314224243167,1.2008535518646242
0.0001,57.0,2.3671954727172846,1.1901363582611086
0.0001,58.0,2.356871974945068,1.179620782852173
0.0001,59.0,2.346756553649903,1.1693027782440188
0.0001,60.0,2.3368450775146488,1.1591782264709476
0.0001,61.0,2.327133188247681,1.1492432708740232
0.0001,62.0,2.3176169013977055,1.1394940671920777
0.0001,63.0,2.3082920932769775,1.129926817893982
0.0001,64.0,2.299154861450195,1.1205377416610716
0.0001,65.0,2.29020125579834,1.1113232517242433
0.0001,66.0,2.281427465438844,1.1022797355651857
0.0001,67.0,2.2728298301696777,1.093403633117676
0.0001,68.0,2.264404577255249,1.0846915616989137
0.0001,69.0,2.256148101806641,1.0761401348114012
0.0001,70.0,2.2480569076538086,1.06774600315094
0.0001,71.0,2.2401275463104238,1.059506046295166
0.0001,72.0,2.2323566093444827,1.05141690158844
0.0001,73.0,2.2247407264709467,1.0434755244255067
0.0001,74.0,2.217276683807373,1.035678997039795
0.0001,75.0,2.2099612789154057,1.0280241346359251
0.0001,76.0,2.2027914352416986,1.0205081405639649
0.0001,77.0,2.1957640190124508,1.013128088951111
0.0001,78.0,2.188876043319703,1.0058812260627747
0.0001,79.0,2.1821246337890616,0.9987647747993468
0.0001,80.0,2.1755068702697753,0.9917760887145997
0.0001,81.0,2.1690199527740477,0.9849125061035156
0.0001,82.0,2.1626611213684077,0.9781714591979981
0.0001,83.0,2.1564276771545408,0.9715504646301272
0.0001,84.0,2.1503170051574707,0.9650470738410949
0.0001,85.0,2.1443265705108643,0.95865882062912
0.0001,86.0,2.1384537773132326,0.9523834352493287
0.0001,87.0,2.132696193695069,0.9462185487747192
0.0001,88.0,2.127051382064819,0.940161861896515
0.0001,89.0,2.121516975402832,0.9342113351821898
0.0001,90.0,2.116090730667114,0.9283647260665895
0.0001,91.0,2.110770318984986,0.9226198682785034
0.0001,92.0,2.1055535259246825,0.9169748220443725
0.0001,93.0,2.100438247680665,0.9114274625778197
0.0001,94.0,2.0954222640991214,0.9059759373664856
0.0001,95.0,2.090503650665284,0.9006182103157043
0.0001,96.0,2.085680244445801,0.8953524408340454
0.0001,97.0,2.0809500942230224,0.8901767883300782
0.0001,98.0,2.076311323165893,0.8850894470214843
0.0001,99.0,2.071761968612671,0.8800886340141296
0.0001,100.0,2.0673002376556395,0.8751726827621461
0.0001,101.0,2.062924228668213,0.8703398900032046
0.0001,102.0,2.0586322765350347,0.8655885772705078
0.0001,103.0,2.054422506332398,0.8609171323776246
0.0001,104.0,2.050293336868286,0.8563239912986755
0.0001,105.0,2.0462430210113522,0.8518076543807984
0.0001,106.0,2.042270046234131,0.847366523742676
0.0001,107.0,2.038372694015504,0.8429992098808288
0.0001,108.0,2.0345494499206547,0.83870423412323
0.0001,109.0,2.0307988109588626,0.8344801678657532
0.0001,110.0,2.027119251251221,0.8303256311416627
0.0001,111.0,2.0235093631744387,0.8262393460273743
0.0001,112.0,2.0199676494598386,0.8222198629379273
0.0001,113.0,2.016492794036866,0.8182659902572631
0.0001,114.0,2.0130833415985108,0.814376395225525
0.0001,115.0,2.009738004684448,0.8105499000549315
0.0001,116.0,2.0064554672241215,0.8067852635383607
0.0001,117.0,2.0032344589233397,0.8030813379287718
0.0001,118.0,2.0000736904144283,0.7994368553161622
0.0001,119.0,1.9969719600677494,0.7958508162498474
0.0001,120.0,1.9939280414581302,0.7923219723701479
0.0001,121.0,1.9909407672882082,0.7888493914604188
0.0001,122.0,1.988009023666382,0.7854318928718567
0.0001,123.0,1.9851316661834721,0.7820684423446655
0.0001,124.0,1.982307529449463,0.7787580809593201
0.0001,125.0,1.9795356197357175,0.7754997539520263
0.0001,126.0,1.9768148822784426,0.7722924737930298
0.0001,127.0,1.9741441516876226,0.7691353664398194
0.0001,128.0,1.9715225582122806,0.7660274472236634
0.0001,129.0,1.9689490375518803,0.7629677915573119
0.0001,130.0,1.9664226512908938,0.7599555330276492
0.0001,131.0,1.9639424552917482,0.756989688396454
0.0001,132.0,1.9615074539184576,0.7540695180892945
0.0001,133.0,1.9591168003082278,0.7511940941810609
0.0001,134.0,1.9567695693969724,0.748362666130066
0.0001,135.0,1.9544649200439455,0.745574414253235
0.0001,136.0,1.952201965332031,0.7428284912109375
0.0001,137.0,1.94997989654541,0.7401241245269775
0.0001,138.0,1.9477978763580326,0.7374606251716612
0.0001,139.0,1.9456550636291505,0.7348371849060059
0.0001,140.0,1.9435507583618157,0.7322531085014343
0.0001,141.0,1.9414841251373294,0.7297076554298402
0.0001,142.0,1.9394544124603272,0.7272001390457155
0.0001,143.0,1.9374609241485594,0.7247299008369447
0.0001,144.0,1.9355028877258296,0.7222962002754212
0.0001,145.0,1.9335796184539797,0.7198984303474427
0.0001,146.0,1.9316904373168942,0.7175359649658204
0.0001,147.0,1.9298346290588384,0.7152081060409545
0.0001,148.0,1.9280115680694583,0.7129142885208131
0.0001,149.0,1.92622059059143,0.710653862953186
0.0001,150.0,1.924461025238037,0.7084263620376587
0.0001,151.0,1.9227322959899904,0.7062309789657594
0.0001,152.0,1.921033790588379,0.7040673246383666
0.0001,153.0,1.919364879608154,0.7019348282814026
0.0001,154.0,1.9177249908447271,0.6998328256607056
0.0001,155.0,1.9161135253906247,0.6977608389854432
0.0001,156.0,1.9145299701690672,0.6957184343338014
0.0001,157.0,1.9129737319946287,0.6937049450874331
0.0001,158.0,1.911444301605224,0.6917199120521547
0.0001,159.0,1.9099411125183101,0.6897629065513612
0.0001,160.0,1.9084636859893804,0.6878333673477173
0.0001,161.0,1.907011493682861,0.6859308853149414
0.0001,162.0,1.905584060668945,0.684054931640625
0.0001,163.0,1.9041808872222903,0.6822050428390503
0.0001,164.0,1.9028015022277829,0.6803807983398439
0.0001,165.0,1.9014454116821284,0.6785817689895629
0.0001,166.0,1.9001121845245363,0.6768075227737428
0.0001,167.0,1.8988013954162601,0.6750575847625733
0.0001,168.0,1.8975125427246096,0.6733316168785095
0.0001,169.0,1.8962453041076657,0.6716290907859804
0.0001,170.0,1.8949991521835332,0.6699497895240784
0.0001,171.0,1.8937737369537353,0.6682931580543519
0.0001,172.0,1.8925686225891116,0.6666588678359986
0.0001,173.0,1.891383405685425,0.6650465760231018
0.0001,174.0,1.8902177381515506,0.663455867767334
0.0001,175.0,1.8890712413787845,0.6618863949775695
0.0001,176.0,1.887943504333496,0.6603377900123597
0.0001,177.0,1.8868342132568359,0.6588097486495971
0.0001,178.0,1.8857429847717284,0.6573018884658813
0.0001,179.0,1.884669459342956,0.6558138661384582
0.0001,180.0,1.8836133441925047,0.6543453836441041
0.0001,181.0,1.8825742549896243,0.6528960695266723
0.0001,182.0,1.8815518760681154,0.651465693473816
0.0001,183.0,1.8805459117889403,0.6500538744926453
0.0001,184.0,1.8795560245513914,0.6486602692604064
0.0001,185.0,1.8785819187164305,0.6472847151756287
0.0001,186.0,1.877623279571533,0.6459267826080322
0.0001,187.0,1.8766798267364497,0.6445862531661989
0.0001,188.0,1.8757512617111203,0.6432628488540647
0.0001,189.0,1.8748373184204108,0.641956229686737
0.0001,190.0,1.873937702178955,0.6406661767959595
0.0001,191.0,1.873052145004273,0.6393924627304077
0.0001,192.0,1.8721803951263427,0.6381347589492798
0.0001,193.0,1.8713221921920782,0.636892831325531
0.0001,194.0,1.8704772529602052,0.6356663846969605
0.0001,195.0,1.869645363807679,0.6344552054405213
0.0001,196.0,1.8688262672424316,0.6332590785026551
0.0001,197.0,1.8680197172164912,0.6320777521133423
0.0001,198.0,1.8672254791259761,0.6309109964370727
0.0001,199.0,1.8664433441162112,0.6297585535049438
0.0001,200.0,1.8656730346679689,0.6286202039718628
0.0001,201.0,1.8649143934249877,0.6274957070350647
0.0001,202.0,1.8641671543121339,0.6263849081993103
0.0001,203.0,1.863431167602539,0.6252875752449035
0.0001,204.0,1.8627061624526975,0.6242034492492676
0.0001,205.0,1.861991971969605,0.6231323466300965
0.0001,206.0,1.8612883968353269,0.622074140071869
0.0001,207.0,1.860595215797424,0.6210284934043885
0.0001,208.0,1.8599122676849364,0.6199953265190126
0.0001,209.0,1.8592393875122073,0.6189744057655334
0.0001,210.0,1.858576316833496,0.6179655408859253
0.0001,211.0,1.8579229335784913,0.6169685673713684
0.0001,212.0,1.857279045104981,0.6159832882881165
0.0001,213.0,1.8566444816589354,0.6150095057487489
0.0001,214.0,1.8560190792083748,0.6140470862388612
0.0001,215.0,1.8554026660919187,0.6130958852767944
0.0001,216.0,1.8547950782775875,0.6121556553840638
0.0001,217.0,1.8541962051391598,0.6112262487411498
0.0001,218.0,1.853605810165405,0.6103075428009035
0.0001,219.0,1.8530237846374507,0.6093993458747864
0.0001,220.0,1.852449989318847,0.6085015516281127
0.0001,221.0,1.8518842658996584,0.6076139402389528
0.0001,222.0,1.8513264884948726,0.6067364010810852
0.0001,223.0,1.850776466369629,0.6058687658309936
0.0001,224.0,1.8502341127395632,0.6050109157562256
0.0001,225.0,1.849699268341065,0.6041626720428467
0.0001,226.0,1.8491718187332158,0.6033239431381225
0.0001,227.0,1.848651628494263,0.6024945063591002
0.0001,228.0,1.848138555526733,0.6016743102073671
0.0001,229.0,1.8476324863433835,0.6008631973266602
0.0001,230.0,1.847133292198181,0.6000610055923462
0.0001,231.0,1.8466408977508546,0.5992676877975464
0.0001,232.0,1.8461551361083985,0.598483003616333
0.0001,233.0,1.8456759128570548,0.5977069249153139
0.0001,234.0,1.845203113555908,0.5969392900466919
0.0001,235.0,1.8447366218566896,0.5961799936294556
0.0001,236.0,1.8442763233184816,0.5954288897514344
0.0001,237.0,1.843822161674499,0.5946858754158019
0.0001,238.0,1.8433739566802978,0.5939508461952211
0.0001,239.0,1.842931632995605,0.5932236728668213
0.0001,240.0,1.8424951553344724,0.5925042600631714
0.0001,241.0,1.842064311027527,0.5917925262451172
0.0001,242.0,1.8416391429901129,0.5910882925987244
0.0001,243.0,1.8412194042205812,0.5903915033340453
0.0001,244.0,1.840805150032044,0.5897021017074585
0.0001,245.0,1.8403962059021,0.589019904613495
0.0001,246.0,1.839992486000061,0.5883448324203493
0.0001,247.0,1.8395939083099373,0.5876768255233763
0.0001,248.0,1.8392004146575927,0.5870157089233398
0.0001,249.0,1.8388118953704833,0.586361517906189
0.0001,250.0,1.838428280830383,0.5857140340805053
0.0001,251.0,1.8380494842529294,0.5850732407569885
0.0001,252.0,1.8376754169464113,0.5844389805793762
0.0001,253.0,1.8373060474395753,0.583811267375946
0.0001,254.0,1.8369412384033206,0.5831899037361146
0.0001,255.0,1.8365809650421145,0.5825748624801635
0.0001,256.0,1.8362251300811767,0.581966113090515
0.0001,257.0,1.8358736696243285,0.5813634729385376
0.0001,258.0,1.8355265293121334,0.5807668809890746
0.0001,259.0,1.8351835918426511,0.5801762933731079
0.0001,260.0,1.834844822883606,0.5795916261672974
0.0001,261.0,1.8345101757049567,0.5790127711296081
0.0001,262.0,1.8341795425415037,0.5784396834373475
0.0001,263.0,1.8338528861999512,0.5778722670078279
0.0001,264.0,1.8335301589965822,0.5773104894161223
0.0001,265.0,1.8332112503051756,0.5767542266845703
0.0001,266.0,1.8328961591720583,0.5762034401893618
0.0001,267.0,1.8325847959518435,0.5756580481529237
0.0001,268.0,1.8322770643234254,0.5751179485321045
0.0001,269.0,1.8319729900360107,0.5745831525325775
0.0001,270.0,1.8316724681854246,0.5740535204410553
0.0001,271.0,1.8313754558563236,0.573529031276703
0.0001,272.0,1.831081880569458,0.5730095732212067
0.0001,273.0,1.8307917127609263,0.5724951725006103
0.0001,274.0,1.8305048789978022,0.5719856317043304
0.0001,275.0,1.8302213401794438,0.5714809851646423
0.0001,276.0,1.829941061019898,0.5709811701774598
0.0001,277.0,1.829663968086243,0.570486095905304
0.0001,278.0,1.8293900203704831,0.5699957261085511
0.0001,279.0,1.8291191978454593,0.5695099616050722
0.0001,280.0,1.828851420402527,0.56902881026268
0.0001,281.0,1.828586672782898,0.5685521550178528
0.0001,282.0,1.8283248643875118,0.5680799808502198
0.0001,283.0,1.8280659790039062,0.5676122183799743
0.0001,284.0,1.827809982299805,0.5671488151550294
0.0001,285.0,1.827556838989258,0.5666897053718566
0.0001,286.0,1.8273064460754391,0.5662348749637605
0.0001,287.0,1.827058850288391,0.5657842125892641
0.0001,288.0,1.826813940048218,0.5653377079963685
0.0001,289.0,1.826571710586548,0.5648953042030336
0.0001,290.0,1.826332130432129,0.5644569439888001
0.0001,291.0,1.8260951576232907,0.5640226056575776
0.0001,292.0,1.8258607339858999,0.5635922148227692
0.0001,293.0,1.8256288166046146,0.5631657547950746
0.0001,294.0,1.825399415969849,0.562743129491806
0.0001,295.0,1.8251724624633785,0.562324329137802
0.0001,296.0,1.8249479084014892,0.5619093382358551
0.0001,297.0,1.824725793838501,0.5614980435371398
0.0001,298.0,1.8245059947967521,0.5610904233455658
0.0001,299.0,1.8242885055541993,0.5606864585876467
0.0001,300.0,1.8240732955932617,0.5602861003875732
0.0001,301.0,1.8238603630065922,0.5598892800807952
0.0001,302.0,1.8236496582031256,0.55949600982666
0.0001,303.0,1.823441139221191,0.5591062064170836
0.0001,304.0,1.8232347812652587,0.5587198276519777
0.0001,305.0,1.8230305347442632,0.5583368535041809
0.0001,306.0,1.8228284158706667,0.5579572196006776
0.0001,307.0,1.8226283597946165,0.5575809416770935
0.0001,308.0,1.8224303617477424,0.5572079339027405
0.0001,309.0,1.8222343749999996,0.5568381445407866
0.0001,310.0,1.8220403804779055,0.5564716012477875
0.0001,311.0,1.8218483562469479,0.5561082174777985
0.0001,312.0,1.821658262252808,0.5557479443550111
0.0001,313.0,1.8214700565338133,0.5553908209800721
0.0001,314.0,1.8212837905883787,0.555036750793457
0.0001,315.0,1.8210993623733527,0.5546856858730316
0.0001,316.0,1.8209167633056644,0.5543376488685609
0.0001,317.0,1.82073596572876,0.5539925801753999
0.0001,318.0,1.8205569982528684,0.5536504304409028
0.0001,319.0,1.8203797607421877,0.553311176776886
0.0001,320.0,1.8202042884826661,0.5529748153686522
0.0001,321.0,1.820030511856079,0.5526412739753723
0.0001,322.0,1.8198584556579585,0.5523105807304383
0.0001,323.0,1.819688070297241,0.5519826221466063
0.0001,324.0,1.81951932144165,0.5516574330329895
0.0001,325.0,1.8193521986007695,0.5513349461555481
0.0001,326.0,1.8191867198944092,0.5510151574611665
0.0001,327.0,1.8190228404998785,0.5506980020999909
0.0001,328.0,1.818860502243042,0.5503834969997405
0.0001,329.0,1.8186997146606445,0.5500715963840483
0.0001,330.0,1.818540491104126,0.5497622661590578
0.0001,331.0,1.8183827219009403,0.5494554944038391
0.0001,332.0,1.8182265014648438,0.5491512410640716
0.0001,333.0,1.8180717401504511,0.5488494589328765
0.0001,334.0,1.8179184017181402,0.5485501708984375
0.0001,335.0,1.8177665309906008,0.5482533125877381
0.0001,336.0,1.8176160964965826,0.5479588568210602
0.0001,337.0,1.8174670505523682,0.5476668152809143
0.0001,338.0,1.8173193683624262,0.5473771195411683
0.0001,339.0,1.8171730813980105,0.547089762210846
0.0001,340.0,1.817028141021728,0.5468047237396241
0.0001,341.0,1.8168845100402837,0.5465219919681549
0.0001,342.0,1.816742227554321,0.5462415220737458
0.0001,343.0,1.8166012296676637,0.5459633078575136
0.0001,344.0,1.816461547851563,0.5456872746944428
0.0001,345.0,1.8163231010437013,0.5454134793281556
0.0001,346.0,1.8161859436035157,0.5451418397426605
0.0001,347.0,1.8160499973297117,0.5448723797798157
0.0001,348.0,1.8159152841567998,0.5446050333976745
0.0001,349.0,1.815781810760498,0.5443397943973541
0.0001,350.0,1.8156495027542114,0.5440766832828522
0.0001,351.0,1.8155183734893796,0.5438155767917632
0.0001,352.0,1.815388436317444,0.5435565533638
0.0001,353.0,1.8152596626281736,0.5432995450496674
0.0001,354.0,1.8151320018768304,0.5430445461273193
0.0001,355.0,1.8150054893493652,0.5427915325164795
0.0001,356.0,1.8148800954818731,0.5425404891967773
0.0001,357.0,1.8147557992935182,0.5422913966178894
0.0001,358.0,1.8146325759887691,0.5420442082881927
0.0001,359.0,1.814510454177856,0.5417989752292633
0.0001,360.0,1.814389377593994,0.541555574655533
0.0001,361.0,1.814269353866577,0.5413140735626221
0.0001,362.0,1.8141503877639773,0.541074420452118
0.0001,363.0,1.8140324382781985,0.5408365991115569
0.0001,364.0,1.8139155101776123,0.5406005873680114
0.0001,365.0,1.8137996006011963,0.5403663752079011
0.0001,366.0,1.8136846771240231,0.540133945465088
0.0001,367.0,1.8135707187652585,0.5399033102989197
0.0001,368.0,1.8134577426910399,0.5396743490695954
0.0001,369.0,1.8133457450866701,0.5394471740722656
0.0001,370.0,1.8132346792221075,0.5392217137813567
0.0001,371.0,1.8131245632171635,0.5389979262351989
0.0001,372.0,1.8130153827667235,0.5387758202552797
0.0001,373.0,1.8129071025848382,0.5385553717613221
0.0001,374.0,1.8127997303009034,0.538336582183838
0.0001,375.0,1.81269327545166,0.5381194417476655
0.0001,376.0,1.8125877180099492,0.5379039020538331
0.0001,377.0,1.8124830274581916,0.5376899302005769
0.0001,378.0,1.8123791999816896,0.5374775769710541
0.0001,379.0,1.8122762269973756,0.5372667925357818
0.0001,380.0,1.812174123764039,0.5370575654506683
0.0001,381.0,1.812072890281677,0.5368498420715332
0.0001,382.0,1.8119724512100226,0.5366437094211578
0.0001,383.0,1.8118728141784666,0.5364390296936036
0.0001,384.0,1.8117740325927736,0.5362358703613282
0.0001,385.0,1.8116760520935056,0.5360342140197755
0.0001,386.0,1.8115788564682003,0.5358339962959289
0.0001,387.0,1.811482461929321,0.5356352484226227
0.0001,388.0,1.8113868417739867,0.5354379215240479
0.0001,389.0,1.8112920198440554,0.5352420592308045
0.0001,390.0,1.8111979227066042,0.5350475981235504
0.0001,391.0,1.8111046209335326,0.5348545551300049
0.0001,392.0,1.8110120429992675,0.5346628699302675
0.0001,393.0,1.810920198440552,0.5344725813865663
0.0001,394.0,1.8108291101455687,0.5342836527824403
0.0001,395.0,1.8107387361526486,0.5340960900783539
0.0001,396.0,1.8106490926742553,0.5339098570346833
0.0001,397.0,1.8105601558685305,0.5337249300479889
0.0001,398.0,1.8104719524383546,0.5335413537025453
0.0001,399.0,1.8103843612670893,0.5333590660095214
0.0001,400.0,1.8102975330352782,0.5331780447959901
0.0001,401.0,1.8102113723754882,0.5329983496665954
0.0001,402.0,1.8101258773803712,0.5328198924064635
0.0001,403.0,1.8100410642623899,0.5326426997184753
0.0001,404.0,1.809956930160522,0.5324667525291443
0.0001,405.0,1.8098734092712407,0.5322920477390289
0.0001,406.0,1.8097905540466315,0.5321185240745544
0.0001,407.0,1.8097083473205569,0.5319462599754334
0.0001,408.0,1.8096267833709714,0.5317751619815827
0.0001,409.0,1.8095458326339722,0.5316053175926209
0.0001,410.0,1.8094654912948611,0.5314365766048432
0.0001,411.0,1.809385795593261,0.5312690558433534
0.0001,412.0,1.8093067111968995,0.5311026854515075
0.0001,413.0,1.8092282323837274,0.5309374558925629
0.0001,414.0,1.8091503410339356,0.5307733483314514
0.0001,415.0,1.8090730400085449,0.5306104011535644
0.0001,416.0,1.808996338844299,0.5304485430717468
0.0001,417.0,1.8089202280044552,0.5302878375053407
0.0001,418.0,1.808844660758972,0.5301281759738923
0.0001,419.0,1.8087696895599361,0.5299696621894837
0.0001,420.0,1.8086952686309807,0.52981219124794
0.0001,421.0,1.8086214256286621,0.5296557850837708
0.0001,422.0,1.8085481300354007,0.5295004630088805
0.0001,423.0,1.8084753894805912,0.5293462126255035
0.0001,424.0,1.8084032039642337,0.5291929759979248
0.0001,425.0,1.8083315324783324,0.5290407786369323
0.0001,426.0,1.8082603807449342,0.5288895816802978
0.0001,427.0,1.8081898021698,0.5287394349575043
0.0001,428.0,1.8081197242736822,0.5285902924537658
0.0001,429.0,1.8080501518249508,0.5284421620368959
0.0001,430.0,1.807981105804443,0.528295003414154
