lr,epoch,train_loss,val_loss
0.1,0.0,9.917058338165283,4.192998960494995
0.1,1.0,4.260409387588501,5.388051483154298
0.1,2.0,4.217091369628905,4.703433486938476
0.1,3.0,3.6777056350708013,4.599078416824341
0.1,4.0,3.214157423019409,4.5780814838409425
0.1,5.0,3.6114840059280393,6.6568785133361805
0.1,6.0,3.813573833465577,5.850416007995605
0.1,7.0,3.032028367996216,5.709223651885988
0.1,8.0,2.59276418364048,7.662675758361817
0.1,9.0,3.9996070470809935,6.555203264236451
0.1,10.0,3.3509044075012198,7.192309967041016
0.1,11.0,2.9761529808044433,6.9476414184570325
0.1,12.0,2.872258040428161,10.514788547515868
0.1,13.0,3.034559315681458,7.916804573059084
0.1,14.0,3.604952535629271,8.928884330749513
0.1,15.0,3.9001525163650523,7.11319164276123
0.1,16.0,2.675174287796021,8.05184121322632
0.1,17.0,2.9272871999740606,10.384643493652344
0.1,18.0,2.9015614528656006,13.541722183227538
0.1,19.0,3.9707621798515325,9.75065383529663
0.1,20.0,2.836594262123108,8.54150085067749
0.1,21.0,2.1843232293128967,11.073184982299805
0.1,22.0,3.5470620908737183,11.95297805404663
0.1,23.0,3.666163789749146,11.130716850280761
0.1,24.0,3.0343191509246825,10.756063533782962
0.1,25.0,2.415180035352707,10.614489299774169
0.1,26.0,2.519530648708344,13.962127540588382
0.1,27.0,2.2649508492946633,11.068001636505127
0.1,28.0,2.0917087371349337,11.460567718505859
0.1,29.0,2.365302304744721,11.520616401672363
0.1,30.0,2.359862490653992,13.515839309692383
0.1,31.0,2.547953430891037,12.762457138061523
0.1,32.0,2.224218524456024,10.899402824401855
0.1,33.0,1.9990769324302677,11.671510257720948
0.1,34.0,2.25289151853323,13.171470924377441
0.1,35.0,1.8643000062704078,10.875299766540527
0.1,36.0,1.057363352939865,12.301118324279784
0.1,37.0,1.4467473871521654,10.878009902954103
0.1,38.0,2.0822391166687013,11.033913940429688
0.1,39.0,1.5932596240490675,10.800857776641845
0.1,40.0,1.162412141084671,10.322595943450926
0.1,41.0,1.3707081884816286,11.627847824096682
0.1,42.0,0.9508049843474278,12.79309400177002
0.1,43.0,1.059898635521499,11.696700714111328
0.1,44.0,1.4874690812528135,11.354576538085938
0.1,45.0,1.6020542075186968,10.760640895843508
0.1,46.0,1.7321965393992085,12.145219619750977
0.1,47.0,1.5254023835659032,11.14688540649414
0.1,48.0,1.2221844322681426,11.829439422607424
0.1,49.0,1.123967730879783,12.487688972473146
0.1,50.0,2.0884750230312346,15.595662109375
0.1,51.0,1.2240432998322361,16.17882580566406
